year,category,nominee,staff,company,producer
2020,Outstanding Comedy Series,Curb Your Enthusiasm,,HBO,HBO Entertainment
2020,Outstanding Comedy Series,Dead to Me,,Netflix,CBS Television Studios
2020,Outstanding Comedy Series,The Good Place,,Netflix,"Universal Television, Fremulon Productions, 3 Arts Entertainment"
2020,Outstanding Comedy Series,Insecure,,HBO,"Issa Rae Productions, Penny for Your Thoughts Entertainment, 3 Arts Entertainment"
2020,Outstanding Comedy Series,The Kominsky Method,,Netflix,"Chuck Lorre Productions, Warner Bros. Television"
2020,Outstanding Comedy Series,The Marvelous Mrs. Maisel,,Prime Video,"Dorothy Parker Drank Here Productions, Picrow, Amazon Studios"
2020,Outstanding Comedy Series,Schitt's Creek,,CBC,Not a Real Company Productions
2020,Outstanding Comedy Series,What We Do in the Shadows,,FX Networks,"Two Canoes Pictures, 343 Incorporated"
